order_number,customer_email,product_sku,quantity,unit_price,sale_date
ORD-000116,customer0207@demo-retail.com,SKU-1098,4,82.52,2026-05-30
ORD-000117,customer0284@demo-retail.com,SKU-1047,2,170.24,2026-07-13
ORD-000118,customer0423@demo-retail.com,SKU-1036,1,172.63,2026-04-13
ORD-000119,customer0192@demo-retail.com,SKU-1051,1,18.54,2026-08-07
ORD-000120,customer0309@demo-retail.com,SKU-1026,1,213.67,2025-05-28
ORD-000121,customer0171@demo-retail.com,SKU-1092,3,204.34,2026-07-27
ORD-000122,customer0168@demo-retail.com,SKU-1018,4,212.85,2026-04-22
ORD-000123,customer0173@demo-retail.com,SKU-1076,3,200.92,2026-06-16
ORD-000124,customer0244@demo-retail.com,SKU-1039,1,172.42,2026-04-09
ORD-000125,customer0158@demo-retail.com,SKU-1075,8,22.71,2026-03-03
ORD-000126,customer0243@demo-retail.com,SKU-1077,4,42.14,2025-01-28
ORD-000127,customer0117@demo-retail.com,SKU-1074,3,138.79,2026-08-16
ORD-000128,customer0421@demo-retail.com,SKU-1019,3,71.01,2026-05-26
ORD-000129,customer0161@demo-retail.com,SKU-1057,2,205.38,2026-08-27
ORD-000130,customer0314@demo-retail.com,SKU-1100,1,196.51,2026-04-25
ORD-000131,customer0071@demo-retail.com,SKU-1091,2,82.94,2025-03-05
ORD-000132,customer0193@demo-retail.com,SKU-1068,4,194.98,2026-05-05
ORD-000133,customer0396@demo-retail.com,SKU-1087,1,118.52,2026-06-02
ORD-000134,customer0248@demo-retail.com,SKU-1079,1,151.8,2025-09-28
ORD-000135,customer0395@demo-retail.com,SKU-1039,1,172.42,2026-07-05
ORD-000136,customer0179@demo-retail.com,SKU-1062,1,78.14,2025-11-21
ORD-000137,customer0294@demo-retail.com,SKU-1016,5,138.37,2025-10-22
ORD-000138,customer0412@demo-retail.com,SKU-1099,4,153.76,2025-12-20
ORD-000139,customer0132@demo-retail.com,SKU-1084,2,78.72,2026-05-10
ORD-000140,customer0357@demo-retail.com,SKU-1072,1,105.17,2025-10-05
ORD-000141,customer0464@demo-retail.com,SKU-1086,2,152.93,2026-08-19
ORD-000142,customer0368@demo-retail.com,SKU-1043,2,76.68,2026-05-18
ORD-000143,customer0209@demo-retail.com,SKU-1021,1,37.38,2026-04-13
ORD-000144,customer0494@demo-retail.com,SKU-1097,2,199.29,2026-07-11
ORD-000145,customer0294@demo-retail.com,SKU-1084,2,78.72,2026-08-09
ORD-000146,customer0214@demo-retail.com,SKU-1023,3,61.74,2025-02-08
ORD-000147,customer0096@demo-retail.com,SKU-1064,3,182.15,2026-02-11
ORD-000148,customer0153@demo-retail.com,SKU-1002,1,155.62,2025-02-08
ORD-000149,customer0253@demo-retail.com,SKU-1068,2,182.25,2026-04-14
ORD-000150,customer0084@demo-retail.com,SKU-1043,3,76.68,2026-08-03
ORD-000151,customer0173@demo-retail.com,SKU-1095,2,122.17,2025-01-15
ORD-000152,customer0439@demo-retail.com,SKU-1079,5,151.8,2025-06-29
ORD-000153,customer0206@demo-retail.com,SKU-1012,3,72.77,2026-06-09
ORD-000154,customer0004@demo-retail.com,SKU-1032,1,184.38,2026-06-10
ORD-000155,customer0299@demo-retail.com,SKU-1039,1,154.84,2025-12-04
ORD-000156,customer0061@demo-retail.com,SKU-1086,3,138.08,2025-03-05
ORD-000157,customer0061@demo-retail.com,SKU-1089,1,155.72,2025-11-15
ORD-000158,customer0491@demo-retail.com,SKU-1029,3,27.74,2026-07-06
ORD-000159,customer0282@demo-retail.com,SKU-1090,8,206.84,2026-05-17
ORD-000160,customer0127@demo-retail.com,SKU-1098,3,82.52,2025-08-12
ORD-000161,customer0271@demo-retail.com,SKU-1058,2,127.16,2026-06-23
ORD-000162,customer0104@demo-retail.com,SKU-1065,3,11.42,2026-04-13
ORD-000163,customer0106@demo-retail.com,SKU-1088,2,146.2,2026-08-02
ORD-000164,customer0233@demo-retail.com,SKU-1008,3,49.82,2026-04-02
ORD-000165,customer0345@demo-retail.com,SKU-1060,8,197.65,2026-04-10
ORD-000166,customer0112@demo-retail.com,SKU-1096,2,26.72,2026-08-31
ORD-000167,customer0479@demo-retail.com,SKU-1009,8,75.28,2026-08-16
ORD-000168,customer0329@demo-retail.com,SKU-1099,6,163.0,2026-07-28
ORD-000169,customer0446@demo-retail.com,SKU-1058,1,143.75,2026-05-26
ORD-000170,customer0335@demo-retail.com,SKU-1018,1,201.98,2026-04-15
ORD-000171,customer0115@demo-retail.com,SKU-1094,1,181.98,2026-07-30
ORD-000172,customer0369@demo-retail.com,SKU-1087,1,118.52,2026-04-20
ORD-000173,customer0178@demo-retail.com,SKU-1059,1,179.16,2025-09-11
ORD-000174,customer0415@demo-retail.com,SKU-1005,3,137.03,2025-04-26
ORD-000175,customer0106@demo-retail.com,SKU-1031,1,92.84,2025-01-17
ORD-000176,customer0380@demo-retail.com,SKU-1032,2,184.38,2026-08-19
ORD-000177,customer0258@demo-retail.com,SKU-1018,5,212.85,2026-08-17
ORD-000178,customer0296@demo-retail.com,SKU-1041,1,191.53,2026-08-13
ORD-000179,customer0339@demo-retail.com,SKU-1019,5,75.36,2026-06-15
ORD-000180,customer0451@demo-retail.com,SKU-1076,2,181.19,2026-04-11
ORD-000181,customer0483@demo-retail.com,SKU-1045,1,196.54,2026-08-19
ORD-000182,customer0077@demo-retail.com,SKU-1053,4,200.77,2026-05-17
ORD-000183,customer0154@demo-retail.com,SKU-1029,3,26.44,2026-07-01
ORD-000184,customer0286@demo-retail.com,SKU-1054,5,97.36,2026-05-18
ORD-000185,customer0041@demo-retail.com,SKU-1083,4,30.78,2026-06-08
ORD-000186,customer0138@demo-retail.com,SKU-1007,4,185.15,2026-07-14
ORD-000187,customer0412@demo-retail.com,SKU-1025,2,125.72,2026-08-13
ORD-000188,customer0446@demo-retail.com,SKU-1027,1,207.42,2026-05-01
ORD-000189,customer0493@demo-retail.com,SKU-1025,4,125.72,2025-08-05
ORD-000190,customer0310@demo-retail.com,SKU-1090,4,206.84,2025-09-06
ORD-000191,customer0145@demo-retail.com,SKU-1100,10,196.51,2026-06-10
ORD-000192,customer0263@demo-retail.com,SKU-1047,2,170.24,2026-06-26
ORD-000193,customer0430@demo-retail.com,SKU-1098,2,82.52,2026-04-26
ORD-000194,customer0443@demo-retail.com,SKU-1073,4,59.79,2026-08-20
ORD-000195,customer0214@demo-retail.com,SKU-1093,2,65.65,2026-08-17
ORD-000196,customer0256@demo-retail.com,SKU-1032,6,184.38,2026-04-08
ORD-000197,customer0329@demo-retail.com,SKU-1093,5,65.65,2026-04-28
ORD-000198,customer0072@demo-retail.com,SKU-1022,2,19.15,2025-12-27
ORD-000199,customer0491@demo-retail.com,SKU-1083,4,28.53,2026-07-10
ORD-000200,customer0004@demo-retail.com,SKU-1098,4,82.52,2025-02-19
ORD-000201,customer0112@demo-retail.com,SKU-1002,1,164.25,2026-07-24
ORD-000202,customer0250@demo-retail.com,SKU-1085,6,20.48,2026-04-30
ORD-000203,customer0370@demo-retail.com,SKU-1068,2,208.13,2026-08-27
ORD-000204,customer0055@demo-retail.com,SKU-1023,5,65.83,2026-05-13
ORD-000205,customer0418@demo-retail.com,SKU-1033,2,70.43,2026-04-19
ORD-000206,customer0290@demo-retail.com,SKU-1059,6,179.16,2026-05-20
ORD-000207,customer0440@demo-retail.com,SKU-1084,2,67.76,2026-08-11
ORD-000208,customer0327@demo-retail.com,SKU-1008,1,43.59,2026-05-02
ORD-000209,customer0440@demo-retail.com,SKU-1073,6,71.25,2026-06-08
ORD-000210,customer0462@demo-retail.com,SKU-1028,1,136.36,2025-08-24
ORD-000211,customer0351@demo-retail.com,SKU-1010,2,101.84,2026-08-20
ORD-000212,customer0476@demo-retail.com,SKU-1023,8,54.71,2026-08-23
ORD-000213,customer0154@demo-retail.com,SKU-1010,8,101.84,2026-05-22
ORD-000214,customer0460@demo-retail.com,SKU-1087,3,118.52,2026-02-03
ORD-000215,customer0382@demo-retail.com,SKU-1065,3,11.64,2025-03-22
ORD-000216,customer0394@demo-retail.com,SKU-1078,2,217.02,2025-12-15
ORD-000217,customer0325@demo-retail.com,SKU-1004,2,24.08,2025-12-01
ORD-000218,customer0482@demo-retail.com,SKU-1071,2,212.19,2026-06-01
ORD-000219,customer0396@demo-retail.com,SKU-1011,3,139.27,2026-05-26
ORD-000220,customer0079@demo-retail.com,SKU-1035,4,27.51,2025-03-26
ORD-000221,customer0185@demo-retail.com,SKU-1041,4,162.08,2026-05-24
ORD-000222,customer0068@demo-retail.com,SKU-1014,4,53.53,2026-06-23
ORD-000223,customer0053@demo-retail.com,SKU-1053,1,200.77,2026-04-22
ORD-000224,customer0007@demo-retail.com,SKU-1050,2,17.29,2026-06-09
ORD-000225,customer0293@demo-retail.com,SKU-1032,1,184.38,2026-04-10
ORD-000226,customer0138@demo-retail.com,SKU-1039,3,149.18,2026-06-24
ORD-000227,customer0185@demo-retail.com,SKU-1010,2,101.84,2026-04-30
ORD-000228,customer0055@demo-retail.com,SKU-1059,5,153.96,2025-07-20
ORD-000229,customer0226@demo-retail.com,SKU-1043,2,76.68,2026-01-25
ORD-000230,customer0165@demo-retail.com,SKU-1039,1,172.42,2025-05-20
ORD-000231,customer0496@demo-retail.com,SKU-1051,1,18.54,2026-07-17
ORD-000232,customer0167@demo-retail.com,SKU-1032,4,184.38,2026-08-13
ORD-000233,customer0103@demo-retail.com,SKU-1073,3,71.25,2026-08-02
ORD-000234,customer0488@demo-retail.com,SKU-1004,1,24.08,2026-07-18
ORD-000235,customer0036@demo-retail.com,SKU-1089,1,155.72,2026-06-18
ORD-000236,customer0325@demo-retail.com,SKU-1018,4,212.85,2026-04-26
ORD-000237,customer0038@demo-retail.com,SKU-1049,1,120.73,2026-05-15
ORD-000238,customer0473@demo-retail.com,SKU-1065,5,13.45,2026-04-17
ORD-000239,customer0459@demo-retail.com,SKU-1090,4,206.84,2026-05-31
ORD-000240,customer0128@demo-retail.com,SKU-1099,1,163.0,2025-04-22
ORD-000241,customer0331@demo-retail.com,SKU-1073,1,71.25,2025-02-15
ORD-000242,customer0006@demo-retail.com,SKU-1014,10,53.53,2026-03-17
ORD-000243,customer0353@demo-retail.com,SKU-1075,2,22.71,2026-07-26
ORD-000244,customer0257@demo-retail.com,SKU-1089,2,155.72,2026-04-03
ORD-000245,customer0472@demo-retail.com,SKU-1054,5,91.63,2026-06-17
ORD-000246,customer0234@demo-retail.com,SKU-1044,8,163.76,2026-06-13
ORD-000247,customer0370@demo-retail.com,SKU-1057,10,205.38,2026-08-07
ORD-000248,customer0435@demo-retail.com,SKU-1003,4,40.89,2026-08-02
ORD-000249,customer0090@demo-retail.com,SKU-1067,2,36.93,2025-09-07
ORD-000250,customer0409@demo-retail.com,SKU-1030,1,21.41,2026-05-05
ORD-000251,customer0015@demo-retail.com,SKU-1051,4,18.54,2026-03-19
ORD-000252,customer0003@demo-retail.com,SKU-1050,3,17.29,2026-05-14
ORD-000253,customer0053@demo-retail.com,SKU-1074,2,138.79,2025-03-06
ORD-000254,customer0059@demo-retail.com,SKU-1059,6,179.16,2026-07-12
ORD-000255,customer0199@demo-retail.com,SKU-1077,1,42.14,2026-06-12
ORD-000256,customer0089@demo-retail.com,SKU-1080,2,61.43,2026-05-06
ORD-000257,customer0069@demo-retail.com,SKU-1087,1,118.52,2026-08-10
ORD-000258,customer0073@demo-retail.com,SKU-1089,2,155.72,2026-05-28
ORD-000259,customer0096@demo-retail.com,SKU-1055,1,59.59,2026-05-25
ORD-000260,customer0086@demo-retail.com,SKU-1072,1,97.79,2025-06-27
ORD-000261,customer0488@demo-retail.com,SKU-1046,1,34.01,2026-08-18
ORD-000262,customer0254@demo-retail.com,SKU-1084,3,78.72,2026-06-02
ORD-000263,customer0086@demo-retail.com,SKU-1063,4,54.31,2026-03-31
ORD-000264,customer0276@demo-retail.com,SKU-1029,3,30.41,2026-06-22
ORD-000265,customer0262@demo-retail.com,SKU-1071,8,194.42,2026-04-27
ORD-000266,customer0422@demo-retail.com,SKU-1070,2,87.63,2026-01-11
ORD-000267,customer0053@demo-retail.com,SKU-1055,2,59.59,2026-07-07
ORD-000268,customer0135@demo-retail.com,SKU-1058,5,143.75,2026-08-23
ORD-000269,customer0416@demo-retail.com,SKU-1100,1,196.51,2026-08-01
ORD-000270,customer0313@demo-retail.com,SKU-1091,8,68.08,2026-06-03
ORD-000271,customer0292@demo-retail.com,SKU-1008,1,49.82,2026-07-10
ORD-000272,customer0150@demo-retail.com,SKU-1091,8,82.94,2026-06-10
ORD-000273,customer0493@demo-retail.com,SKU-1018,1,212.85,2025-04-08
ORD-000274,customer0065@demo-retail.com,SKU-1084,6,64.7,2026-06-22
ORD-000275,customer0432@demo-retail.com,SKU-1098,3,82.52,2026-06-29
ORD-000276,customer0213@demo-retail.com,SKU-1081,10,81.35,2026-06-24
ORD-000277,customer0384@demo-retail.com,SKU-1066,1,98.82,2026-02-17
ORD-000278,customer0298@demo-retail.com,SKU-1042,36,76.45,2026-04-29
ORD-000279,customer0408@demo-retail.com,SKU-1009,8,75.28,2026-01-02
ORD-000280,customer0138@demo-retail.com,SKU-1064,3,182.15,2026-07-08
ORD-000281,customer0437@demo-retail.com,SKU-1073,3,71.25,2026-07-29
ORD-000282,customer0051@demo-retail.com,SKU-1006,4,16.28,2025-02-19
ORD-000283,customer0234@demo-retail.com,SKU-1057,16,205.38,2026-07-22
ORD-000284,customer0155@demo-retail.com,SKU-1084,3,78.72,2025-05-16
ORD-000285,customer0043@demo-retail.com,SKU-1033,3,70.43,2026-05-31
ORD-000286,customer0157@demo-retail.com,SKU-1081,6,88.5,2026-05-22
ORD-000287,customer0049@demo-retail.com,SKU-1091,8,73.74,2026-08-08
ORD-000288,customer0005@demo-retail.com,SKU-1002,2,164.25,2026-05-10
ORD-000289,customer0068@demo-retail.com,SKU-1089,8,155.72,2026-03-09
ORD-000290,customer0161@demo-retail.com,SKU-1014,6,53.53,2026-08-05
ORD-000291,customer0347@demo-retail.com,SKU-1083,2,30.78,2026-07-28
ORD-000292,customer0180@demo-retail.com,SKU-1057,3,205.38,2026-07-20
ORD-000293,customer0352@demo-retail.com,SKU-1079,1,151.8,2026-05-18
ORD-000294,customer0064@demo-retail.com,SKU-1097,1,199.29,2025-05-24
ORD-000295,customer0127@demo-retail.com,SKU-1018,2,187.95,2025-11-19
ORD-000296,customer0482@demo-retail.com,SKU-1100,2,196.51,2026-06-20
ORD-000297,customer0266@demo-retail.com,SKU-1027,3,207.42,2025-11-05
ORD-000298,customer0254@demo-retail.com,SKU-1031,1,92.84,2026-08-18
ORD-000299,customer0456@demo-retail.com,SKU-1068,8,208.13,2025-03-14
ORD-000300,customer0441@demo-retail.com,SKU-1050,10,17.29,2025-05-16
ORD-000301,customer0242@demo-retail.com,SKU-1098,4,82.52,2026-07-18
ORD-000302,customer0135@demo-retail.com,SKU-1002,3,164.25,2026-08-14
ORD-000303,customer0147@demo-retail.com,SKU-1065,2,13.45,2026-02-12
ORD-000304,customer0328@demo-retail.com,SKU-1011,5,139.27,2026-05-21
ORD-000305,customer0262@demo-retail.com,SKU-1011,3,139.27,2026-06-13
ORD-000306,customer0301@demo-retail.com,SKU-1051,1,18.54,2026-06-09
ORD-000307,customer0358@demo-retail.com,SKU-1040,6,86.56,2025-03-09
ORD-000308,customer0474@demo-retail.com,SKU-1012,5,72.77,2026-06-30
ORD-000309,customer0380@demo-retail.com,SKU-1086,8,122.63,2026-06-13
ORD-000310,customer0255@demo-retail.com,SKU-1021,4,37.38,2026-08-29
ORD-000311,customer0191@demo-retail.com,SKU-1022,3,19.15,2025-09-23
ORD-000312,customer0461@demo-retail.com,SKU-1099,2,163.0,2026-08-01
ORD-000313,customer0365@demo-retail.com,SKU-1034,6,41.31,2026-08-15
ORD-000314,customer0029@demo-retail.com,SKU-1047,5,170.24,2026-04-23
ORD-000315,customer0053@demo-retail.com,SKU-1099,1,163.0,2026-06-27
ORD-000316,customer0023@demo-retail.com,SKU-1001,1,72.54,2026-04-23
ORD-000317,customer0477@demo-retail.com,SKU-1023,2,60.59,2026-07-24
ORD-000318,customer0165@demo-retail.com,SKU-1029,5,30.41,2026-03-06
ORD-000319,customer0191@demo-retail.com,SKU-1074,10,138.79,2026-08-12
ORD-000320,customer0024@demo-retail.com,SKU-1067,1,32.12,2026-07-05
ORD-000321,customer0045@demo-retail.com,SKU-1042,3,67.1,2026-06-13
ORD-000322,customer0319@demo-retail.com,SKU-1095,2,122.17,2026-06-15
ORD-000323,customer0462@demo-retail.com,SKU-1094,8,181.98,2025-07-20
ORD-000324,customer0120@demo-retail.com,SKU-1004,5,24.08,2026-05-19
ORD-000325,customer0001@demo-retail.com,SKU-1043,5,76.68,2025-01-10
ORD-000326,customer0106@demo-retail.com,SKU-1014,2,53.53,2025-11-11
ORD-000327,customer0365@demo-retail.com,SKU-1019,2,62.9,2026-08-16
ORD-000328,customer0459@demo-retail.com,SKU-1090,1,206.84,2026-02-27
ORD-000329,customer0069@demo-retail.com,SKU-1065,1,13.45,2026-08-07
ORD-000330,customer0340@demo-retail.com,SKU-1056,5,72.27,2026-08-16
ORD-000331,customer0359@demo-retail.com,SKU-1051,5,18.54,2026-06-12
ORD-000332,customer0484@demo-retail.com,SKU-1010,10,101.84,2026-07-03
ORD-000333,customer0085@demo-retail.com,SKU-1014,10,53.53,2026-07-23
ORD-000334,customer0107@demo-retail.com,SKU-1099,3,163.0,2026-06-01
ORD-000335,customer0414@demo-retail.com,SKU-1021,4,37.38,2025-04-03
ORD-000336,customer0428@demo-retail.com,SKU-1028,8,123.63,2025-02-11
ORD-000337,customer0026@demo-retail.com,SKU-1066,5,98.82,2026-02-10
ORD-000338,customer0438@demo-retail.com,SKU-1052,1,77.39,2025-02-01
ORD-000339,customer0412@demo-retail.com,SKU-1014,2,43.32,2026-05-05
ORD-000340,customer0102@demo-retail.com,SKU-1017,1,25.53,2025-08-16
ORD-000341,customer0301@demo-retail.com,SKU-1075,8,22.71,2025-03-28
ORD-000342,customer0463@demo-retail.com,SKU-1026,3,213.67,2026-08-15
ORD-000343,customer0022@demo-retail.com,SKU-1016,1,129.88,2026-06-08
ORD-000344,customer0016@demo-retail.com,SKU-1064,3,182.15,2026-05-22
ORD-000345,customer0144@demo-retail.com,SKU-1036,3,154.01,2026-07-15
ORD-000346,customer0211@demo-retail.com,SKU-1064,2,182.15,2026-06-17
ORD-000347,customer0215@demo-retail.com,SKU-1018,1,212.85,2026-05-25
ORD-000348,customer0196@demo-retail.com,SKU-1003,3,44.45,2026-04-14
