name,email,region
Aditi Malhotra,customer0055@demo-retail.com,Central
Nisha Verma,customer0056@demo-retail.com,South
Sneha Shah,customer0057@demo-retail.com,South
Pooja Shah,customer0058@demo-retail.com,Central
Aarav Yadav,customer0059@demo-retail.com,East
Riya Sharma,customer0060@demo-retail.com,North
Sneha Sinha,customer0061@demo-retail.com,East
Vikram Sharma,customer0062@demo-retail.com,South
Muskan Kumar,customer0063@demo-retail.com,North
Riya Malhotra,customer0064@demo-retail.com,North
Pooja Shah,customer0065@demo-retail.com,South
Rohan Das,customer0066@demo-retail.com,West
Pooja Singh,customer0067@demo-retail.com,East
Simran Malhotra,customer0068@demo-retail.com,Central
Kavya Verma,customer0069@demo-retail.com,Central
Karan Roy,customer0070@demo-retail.com,East
Neha Das,customer0071@demo-retail.com,East
Isha Sinha,customer0072@demo-retail.com,Central
Isha Kumar,customer0073@demo-retail.com,South
Vikram Kumar,customer0074@demo-retail.com,East
Aarav Yadav,customer0075@demo-retail.com,Central
Vikram Yadav,customer0076@demo-retail.com,South
Aarav Kumar,customer0077@demo-retail.com,North
Vikram Kumar,customer0078@demo-retail.com,North
Priya Kumar,customer0079@demo-retail.com,Central
Vikram Gupta,customer0080@demo-retail.com,West
Karan Joshi,customer0081@demo-retail.com,South
Muskan Yadav,customer0082@demo-retail.com,West
Vikram Shah,customer0083@demo-retail.com,West
Kavya Verma,customer0084@demo-retail.com,North
Arjun Das,customer0085@demo-retail.com,West
Sneha Patel,customer0086@demo-retail.com,West
Isha Malhotra,customer0087@demo-retail.com,North
Arjun Sharma,customer0088@demo-retail.com,West
Priya Shah,customer0089@demo-retail.com,North
Vikram Verma,customer0090@demo-retail.com,South
Pooja Mishra,customer0091@demo-retail.com,South
Kavya Singh,customer0092@demo-retail.com,East
Isha Verma,customer0093@demo-retail.com,North
Isha Shah,customer0094@demo-retail.com,Central
Arjun Sharma,customer0095@demo-retail.com,Central
Aarav Kumar,customer0096@demo-retail.com,South
Rahul Patel,customer0097@demo-retail.com,West
Riya Verma,customer0098@demo-retail.com,West
Vivaan Singh,customer0099@demo-retail.com,West
Aarav Patel,customer0100@demo-retail.com,East
Isha Gupta,customer0101@demo-retail.com,West
Pooja Das,customer0102@demo-retail.com,West
Rohan Verma,customer0103@demo-retail.com,East
Karan Sharma,customer0104@demo-retail.com,Central
Pooja Sharma,customer0105@demo-retail.com,East
Vivaan Sharma,customer0106@demo-retail.com,Central
Riya Joshi,customer0107@demo-retail.com,Central
Rahul Sharma,customer0108@demo-retail.com,Central
Aditya Malhotra,customer0109@demo-retail.com,South
Aditya Yadav,customer0110@demo-retail.com,North
Vikram Patel,customer0111@demo-retail.com,North
Muskan Verma,customer0112@demo-retail.com,Central
Nisha Sharma,customer0113@demo-retail.com,Central
Aditya Patel,customer0114@demo-retail.com,Central
Muskan Joshi,customer0115@demo-retail.com,East
Ananya Verma,customer0116@demo-retail.com,East
Vikram Gupta,customer0117@demo-retail.com,West
Rohan Das,customer0118@demo-retail.com,East
Isha Mehta,customer0119@demo-retail.com,North
Aarav Mishra,customer0120@demo-retail.com,Central
Muskan Kumar,customer0121@demo-retail.com,North
Pooja Verma,customer0122@demo-retail.com,Central
Ananya Singh,customer0123@demo-retail.com,East
Aditya Sinha,customer0124@demo-retail.com,South
Sneha Gupta,customer0125@demo-retail.com,South
Isha Malhotra,customer0126@demo-retail.com,Central
Aditi Yadav,customer0127@demo-retail.com,Central
Aarav Das,customer0128@demo-retail.com,Central
Aditi Sinha,customer0129@demo-retail.com,North
Rohan Gupta,customer0130@demo-retail.com,North
Arjun Roy,customer0131@demo-retail.com,Central
Rohan Gupta,customer0132@demo-retail.com,East
Nisha Verma,customer0133@demo-retail.com,East
Karan Das,customer0134@demo-retail.com,East
Simran Mishra,customer0135@demo-retail.com,East
Vivaan Kumar,customer0136@demo-retail.com,West
Ananya Sharma,customer0137@demo-retail.com,North
Priya Shah,customer0138@demo-retail.com,South
Ananya Singh,customer0139@demo-retail.com,West
Pooja Roy,customer0140@demo-retail.com,West
Pooja Sharma,customer0141@demo-retail.com,North
Aditya Sinha,customer0142@demo-retail.com,South
Pooja Sharma,customer0143@demo-retail.com,East
Muskan Joshi,customer0144@demo-retail.com,South
Kavya Singh,customer0145@demo-retail.com,North
Aditi Mehta,customer0146@demo-retail.com,North
Sneha Verma,customer0147@demo-retail.com,South
Arjun Mehta,customer0148@demo-retail.com,Central
Kavya Yadav,customer0149@demo-retail.com,South
Vikram Malhotra,customer0150@demo-retail.com,South
Rahul Sinha,customer0151@demo-retail.com,West
Aarav Singh,customer0152@demo-retail.com,East
Kavya Shah,customer0153@demo-retail.com,South
Ananya Singh,customer0154@demo-retail.com,North
Neha Malhotra,customer0155@demo-retail.com,North
Riya Verma,customer0156@demo-retail.com,South
Isha Mehta,customer0157@demo-retail.com,East
Vikram Verma,customer0158@demo-retail.com,North
Karan Patel,customer0159@demo-retail.com,East
Ananya Malhotra,customer0160@demo-retail.com,North
Ananya Mehta,customer0161@demo-retail.com,Central
Neha Das,customer0162@demo-retail.com,Central
Priya Sharma,customer0163@demo-retail.com,North
Ananya Singh,customer0164@demo-retail.com,Central
Ananya Sharma,customer0165@demo-retail.com,North
Nisha Patel,customer0166@demo-retail.com,East
Priya Patel,customer0167@demo-retail.com,Central
Simran Kumar,customer0168@demo-retail.com,West
Muskan Verma,customer0169@demo-retail.com,East
Vivaan Roy,customer0170@demo-retail.com,West
Aarav Joshi,customer0171@demo-retail.com,Central
Karan Mehta,customer0172@demo-retail.com,West
Aditya Das,customer0173@demo-retail.com,East
Nisha Mehta,customer0174@demo-retail.com,North
Aditi Joshi,customer0175@demo-retail.com,East
Kavya Mehta,customer0176@demo-retail.com,West
Aditi Joshi,customer0177@demo-retail.com,South
Karan Patel,customer0178@demo-retail.com,West
Rahul Yadav,customer0179@demo-retail.com,Central
Aditi Patel,customer0180@demo-retail.com,Central
Aarav Gupta,customer0181@demo-retail.com,East
Karan Patel,customer0182@demo-retail.com,Central
Nisha Das,customer0183@demo-retail.com,East
Isha Mishra,customer0184@demo-retail.com,West
Karan Joshi,customer0185@demo-retail.com,West
Rahul Das,customer0186@demo-retail.com,North
Aditi Joshi,customer0187@demo-retail.com,Central
Priya Kumar,customer0188@demo-retail.com,South
Aditi Verma,customer0189@demo-retail.com,South
Rohan Sharma,customer0190@demo-retail.com,North
Vikram Mishra,customer0191@demo-retail.com,Central
Aditya Mishra,customer0192@demo-retail.com,West
Muskan Verma,customer0193@demo-retail.com,West
Riya Patel,customer0194@demo-retail.com,South
Rohan Das,customer0195@demo-retail.com,North
Arjun Shah,customer0196@demo-retail.com,West
Vikram Singh,customer0197@demo-retail.com,Central
Isha Sharma,customer0198@demo-retail.com,Central
Vikram Sinha,customer0199@demo-retail.com,North
Isha Singh,customer0200@demo-retail.com,West
Simran Joshi,customer0201@demo-retail.com,Central
Priya Shah,customer0202@demo-retail.com,West
Nisha Malhotra,customer0203@demo-retail.com,Central
Kavya Malhotra,customer0204@demo-retail.com,Central
Isha Sinha,customer0205@demo-retail.com,South
Riya Mishra,customer0206@demo-retail.com,East
Vikram Malhotra,customer0207@demo-retail.com,East
Simran Mishra,customer0208@demo-retail.com,South
Ananya Mishra,customer0209@demo-retail.com,North
Aditi Verma,customer0210@demo-retail.com,East
Priya Mehta,customer0211@demo-retail.com,Central
Aditya Singh,customer0212@demo-retail.com,South
Vikram Patel,customer0213@demo-retail.com,South
Karan Kumar,customer0214@demo-retail.com,West
Kavya Mehta,customer0215@demo-retail.com,Central
Isha Patel,customer0216@demo-retail.com,North
Karan Malhotra,customer0217@demo-retail.com,West
Neha Sinha,customer0218@demo-retail.com,Central
Aarav Malhotra,customer0219@demo-retail.com,Central
Neha Mishra,customer0220@demo-retail.com,North
Sneha Gupta,customer0221@demo-retail.com,West
Kavya Joshi,customer0222@demo-retail.com,Central
Nisha Sinha,customer0223@demo-retail.com,South
Riya Verma,customer0224@demo-retail.com,East
Kavya Mishra,customer0225@demo-retail.com,North
Neha Mehta,customer0226@demo-retail.com,West
Rahul Malhotra,customer0227@demo-retail.com,West
Rohan Yadav,customer0228@demo-retail.com,Central
Aarav Sinha,customer0229@demo-retail.com,West
Muskan Yadav,customer0230@demo-retail.com,North
Aditya Das,customer0231@demo-retail.com,West
Rohan Malhotra,customer0232@demo-retail.com,West
Rahul Sharma,customer0233@demo-retail.com,East
Neha Mehta,customer0234@demo-retail.com,South
Isha Mehta,customer0235@demo-retail.com,East
Neha Gupta,customer0236@demo-retail.com,West
Ananya Malhotra,customer0237@demo-retail.com,North
Riya Sharma,customer0238@demo-retail.com,Central
Vivaan Mehta,customer0239@demo-retail.com,South
Aditya Shah,customer0240@demo-retail.com,North
Aarav Verma,customer0241@demo-retail.com,South
Aarav Yadav,customer0242@demo-retail.com,South
Vikram Singh,customer0243@demo-retail.com,West
Arjun Yadav,customer0244@demo-retail.com,South
Isha Roy,customer0245@demo-retail.com,East
Sneha Singh,customer0246@demo-retail.com,Central
Nisha Roy,customer0247@demo-retail.com,North
Rahul Gupta,customer0248@demo-retail.com,North
Muskan Sharma,customer0249@demo-retail.com,East
Muskan Das,customer0250@demo-retail.com,West
Neha Roy,customer0251@demo-retail.com,South
Aditya Yadav,customer0252@demo-retail.com,South
Arjun Roy,customer0253@demo-retail.com,East
Nisha Shah,customer0254@demo-retail.com,North
Muskan Shah,customer0255@demo-retail.com,North
Sneha Joshi,customer0256@demo-retail.com,West
Sneha Kumar,customer0257@demo-retail.com,Central
Priya Sharma,customer0258@demo-retail.com,West
Riya Kumar,customer0259@demo-retail.com,West
Sneha Das,customer0260@demo-retail.com,West
Rohan Patel,customer0261@demo-retail.com,South
Simran Das,customer0262@demo-retail.com,East
Nisha Shah,customer0263@demo-retail.com,Central
Riya Mishra,customer0264@demo-retail.com,West
Muskan Gupta,customer0265@demo-retail.com,East
Vikram Malhotra,customer0266@demo-retail.com,North
Ananya Sinha,customer0267@demo-retail.com,West
Vikram Shah,customer0268@demo-retail.com,West
Muskan Yadav,customer0269@demo-retail.com,West
Priya Sharma,customer0270@demo-retail.com,West
Priya Singh,customer0271@demo-retail.com,West
Karan Mehta,customer0272@demo-retail.com,East
Priya Gupta,customer0273@demo-retail.com,Central
Ananya Joshi,customer0274@demo-retail.com,North
Simran Verma,customer0275@demo-retail.com,North
Vikram Roy,customer0276@demo-retail.com,West
Riya Joshi,customer0277@demo-retail.com,South
Riya Das,customer0278@demo-retail.com,West
Isha Shah,customer0279@demo-retail.com,North
Aditya Gupta,customer0280@demo-retail.com,South
Neha Roy,customer0281@demo-retail.com,South
Aditi Das,customer0282@demo-retail.com,Central
Sneha Mishra,customer0283@demo-retail.com,Central
Simran Mehta,customer0284@demo-retail.com,West
Pooja Mehta,customer0285@demo-retail.com,East
Isha Gupta,customer0286@demo-retail.com,East
Ananya Verma,customer0287@demo-retail.com,North
Karan Mehta,customer0288@demo-retail.com,North
Pooja Shah,customer0289@demo-retail.com,South
Karan Verma,customer0290@demo-retail.com,West
Ananya Roy,customer0291@demo-retail.com,Central
Simran Yadav,customer0292@demo-retail.com,East
Arjun Malhotra,customer0293@demo-retail.com,South
Aditi Verma,customer0294@demo-retail.com,East
Rahul Gupta,customer0295@demo-retail.com,North
Pooja Singh,customer0296@demo-retail.com,East
Vivaan Sharma,customer0297@demo-retail.com,Central
Aditi Roy,customer0298@demo-retail.com,South
Riya Kumar,customer0299@demo-retail.com,North
Muskan Gupta,customer0300@demo-retail.com,West
Riya Mishra,customer0301@demo-retail.com,East
Rahul Sharma,customer0302@demo-retail.com,East
Riya Kumar,customer0303@demo-retail.com,North
Neha Mishra,customer0304@demo-retail.com,North
Muskan Das,customer0305@demo-retail.com,North
Rohan Singh,customer0306@demo-retail.com,Central
Aditi Kumar,customer0307@demo-retail.com,South
Arjun Joshi,customer0308@demo-retail.com,West
Nisha Yadav,customer0309@demo-retail.com,Central
Vikram Shah,customer0310@demo-retail.com,Central
Neha Mishra,customer0311@demo-retail.com,West
Aditi Malhotra,customer0312@demo-retail.com,Central
Kavya Gupta,customer0313@demo-retail.com,Central
Nisha Sharma,customer0314@demo-retail.com,Central
Arjun Shah,customer0315@demo-retail.com,South
Karan Gupta,customer0316@demo-retail.com,North
Rahul Verma,customer0317@demo-retail.com,South
Pooja Kumar,customer0318@demo-retail.com,South
Aarav Patel,customer0319@demo-retail.com,West
Nisha Mishra,customer0320@demo-retail.com,East
Vivaan Verma,customer0321@demo-retail.com,East
Aditi Roy,customer0322@demo-retail.com,West
Aditya Das,customer0323@demo-retail.com,South
Ananya Shah,customer0324@demo-retail.com,Central
Karan Patel,customer0325@demo-retail.com,North
Pooja Verma,customer0326@demo-retail.com,South
Ananya Malhotra,customer0327@demo-retail.com,South
Aditya Sharma,customer0328@demo-retail.com,South
Aditi Yadav,customer0329@demo-retail.com,Central
Aditi Mishra,customer0330@demo-retail.com,North
Isha Roy,customer0331@demo-retail.com,East
Neha Gupta,customer0332@demo-retail.com,Central
Pooja Mishra,customer0333@demo-retail.com,West
Aditya Yadav,customer0334@demo-retail.com,North
Kavya Roy,customer0335@demo-retail.com,East
Nisha Gupta,customer0336@demo-retail.com,North
Aditya Verma,customer0337@demo-retail.com,Central
Muskan Sharma,customer0338@demo-retail.com,East
Muskan Sharma,customer0339@demo-retail.com,South
Riya Joshi,customer0340@demo-retail.com,West
Ananya Singh,customer0341@demo-retail.com,Central
Kavya Das,customer0342@demo-retail.com,West
Aditya Mishra,customer0343@demo-retail.com,East
Kavya Mehta,customer0344@demo-retail.com,East
Arjun Malhotra,customer0345@demo-retail.com,South
Priya Patel,customer0346@demo-retail.com,West
Aditi Das,customer0347@demo-retail.com,West
Pooja Sharma,customer0348@demo-retail.com,West
Aditya Mehta,customer0349@demo-retail.com,East
Priya Kumar,customer0350@demo-retail.com,West
Simran Malhotra,customer0351@demo-retail.com,North
Pooja Mishra,customer0352@demo-retail.com,West
Vivaan Verma,customer0353@demo-retail.com,Central
Sneha Yadav,customer0354@demo-retail.com,West
Isha Shah,customer0355@demo-retail.com,North
Karan Gupta,customer0356@demo-retail.com,Central
Rohan Sinha,customer0357@demo-retail.com,East
Isha Sinha,customer0358@demo-retail.com,West
Arjun Sharma,customer0359@demo-retail.com,Central
Vikram Roy,customer0360@demo-retail.com,South
Aditi Joshi,customer0361@demo-retail.com,North
Pooja Patel,customer0362@demo-retail.com,North
Vikram Malhotra,customer0363@demo-retail.com,North
Isha Kumar,customer0364@demo-retail.com,South
Riya Sinha,customer0365@demo-retail.com,East
Simran Roy,customer0366@demo-retail.com,East
Kavya Malhotra,customer0367@demo-retail.com,West
Riya Verma,customer0368@demo-retail.com,West
Pooja Singh,customer0369@demo-retail.com,West
Karan Sinha,customer0370@demo-retail.com,Central
Simran Roy,customer0371@demo-retail.com,South
Aditya Gupta,customer0372@demo-retail.com,West
Priya Sinha,customer0373@demo-retail.com,Central
Ananya Malhotra,customer0374@demo-retail.com,North
Aditi Roy,customer0375@demo-retail.com,East
Muskan Yadav,customer0376@demo-retail.com,West
Rohan Mishra,customer0377@demo-retail.com,Central
Riya Mehta,customer0378@demo-retail.com,East
Pooja Shah,customer0379@demo-retail.com,Central
Neha Mishra,customer0380@demo-retail.com,East
Karan Roy,customer0381@demo-retail.com,South
Muskan Patel,customer0382@demo-retail.com,South
Kavya Sharma,customer0383@demo-retail.com,East
Riya Roy,customer0384@demo-retail.com,West
Neha Das,customer0385@demo-retail.com,South
Riya Sharma,customer0386@demo-retail.com,South
Simran Yadav,customer0387@demo-retail.com,East
Arjun Malhotra,customer0388@demo-retail.com,West
Arjun Joshi,customer0389@demo-retail.com,West
Aarav Roy,customer0390@demo-retail.com,South
Kavya Malhotra,customer0391@demo-retail.com,South
Aditya Mishra,customer0392@demo-retail.com,East
Priya Yadav,customer0393@demo-retail.com,West
Aditya Malhotra,customer0394@demo-retail.com,East
Pooja Patel,customer0395@demo-retail.com,East
Riya Malhotra,customer0396@demo-retail.com,Central
Vivaan Yadav,customer0397@demo-retail.com,North
Vikram Das,customer0398@demo-retail.com,East
Vikram Roy,customer0399@demo-retail.com,North
Kavya Kumar,customer0400@demo-retail.com,North
Isha Singh,customer0401@demo-retail.com,East
Aarav Sharma,customer0402@demo-retail.com,East
Vivaan Gupta,customer0403@demo-retail.com,East
Sneha Patel,customer0404@demo-retail.com,South
Vikram Joshi,customer0405@demo-retail.com,West
Muskan Das,customer0406@demo-retail.com,South
Rahul Singh,customer0407@demo-retail.com,North
Nisha Malhotra,customer0408@demo-retail.com,West
Nisha Das,customer0409@demo-retail.com,South
Riya Sinha,customer0410@demo-retail.com,Central
Rohan Verma,customer0411@demo-retail.com,West
Ananya Mishra,customer0412@demo-retail.com,East
Aarav Sinha,customer0413@demo-retail.com,West
Aditi Das,customer0414@demo-retail.com,Central
Rahul Kumar,customer0415@demo-retail.com,West
Sneha Yadav,customer0416@demo-retail.com,East
Kavya Roy,customer0417@demo-retail.com,East
Isha Malhotra,customer0418@demo-retail.com,East
Karan Patel,customer0419@demo-retail.com,West
Arjun Verma,customer0420@demo-retail.com,West
Muskan Mehta,customer0421@demo-retail.com,Central
Aditi Roy,customer0422@demo-retail.com,East
Aarav Malhotra,customer0423@demo-retail.com,West
Ananya Sharma,customer0424@demo-retail.com,Central
Vivaan Sinha,customer0425@demo-retail.com,Central
Riya Malhotra,customer0426@demo-retail.com,East
Vikram Yadav,customer0427@demo-retail.com,East
Vikram Das,customer0428@demo-retail.com,South
Nisha Gupta,customer0429@demo-retail.com,South
Arjun Sinha,customer0430@demo-retail.com,North
Aditi Shah,customer0431@demo-retail.com,West
Vivaan Yadav,customer0432@demo-retail.com,East
Rohan Kumar,customer0433@demo-retail.com,East
Priya Roy,customer0434@demo-retail.com,West
Rahul Verma,customer0435@demo-retail.com,South
Pooja Sinha,customer0436@demo-retail.com,East
Simran Joshi,customer0437@demo-retail.com,East
Rahul Gupta,customer0438@demo-retail.com,West
Aditi Roy,customer0439@demo-retail.com,East
Arjun Mishra,customer0440@demo-retail.com,North
Rohan Shah,customer0441@demo-retail.com,South
Neha Malhotra,customer0442@demo-retail.com,Central
Sneha Kumar,customer0443@demo-retail.com,West
Aarav Gupta,customer0444@demo-retail.com,Central
Arjun Mishra,customer0445@demo-retail.com,East
Ananya Yadav,customer0446@demo-retail.com,West
Sneha Kumar,customer0447@demo-retail.com,South
Riya Sharma,customer0448@demo-retail.com,Central
Pooja Mehta,customer0449@demo-retail.com,Central
Vikram Das,customer0450@demo-retail.com,North
Isha Sinha,customer0451@demo-retail.com,East
Kavya Kumar,customer0452@demo-retail.com,South
Vivaan Sharma,customer0453@demo-retail.com,East
Riya Kumar,customer0454@demo-retail.com,North
Vikram Sinha,customer0455@demo-retail.com,Central
Rohan Patel,customer0456@demo-retail.com,West
Sneha Das,customer0457@demo-retail.com,Central
Kavya Yadav,customer0458@demo-retail.com,South
Kavya Das,customer0459@demo-retail.com,North
Riya Yadav,customer0460@demo-retail.com,West
Ananya Sharma,customer0461@demo-retail.com,East
Karan Mishra,customer0462@demo-retail.com,West
Vikram Malhotra,customer0463@demo-retail.com,East
Arjun Das,customer0464@demo-retail.com,East
Pooja Sinha,customer0465@demo-retail.com,East
Vivaan Patel,customer0466@demo-retail.com,East
Karan Kumar,customer0467@demo-retail.com,West
Aditya Das,customer0468@demo-retail.com,South
Nisha Sharma,customer0469@demo-retail.com,North
Priya Verma,customer0470@demo-retail.com,South
Muskan Verma,customer0471@demo-retail.com,North
Pooja Verma,customer0472@demo-retail.com,Central
Karan Malhotra,customer0473@demo-retail.com,South
Priya Shah,customer0474@demo-retail.com,South
Nisha Sharma,customer0475@demo-retail.com,East
Rohan Singh,customer0476@demo-retail.com,Central
Ananya Shah,customer0477@demo-retail.com,South
Arjun Das,customer0478@demo-retail.com,North
Rohan Sharma,customer0479@demo-retail.com,East
Vikram Yadav,customer0480@demo-retail.com,East
Aarav Singh,customer0481@demo-retail.com,East
Vivaan Singh,customer0482@demo-retail.com,West
Simran Kumar,customer0483@demo-retail.com,North
Riya Mishra,customer0484@demo-retail.com,East
Simran Yadav,customer0485@demo-retail.com,North
Isha Joshi,customer0486@demo-retail.com,South
Nisha Sharma,customer0487@demo-retail.com,Central
Aditi Mishra,customer0488@demo-retail.com,North
Vivaan Mishra,customer0489@demo-retail.com,West
Kavya Das,customer0490@demo-retail.com,North
Riya Roy,customer0491@demo-retail.com,West
Aditya Sinha,customer0492@demo-retail.com,North
Priya Yadav,customer0493@demo-retail.com,South
Aditya Singh,customer0494@demo-retail.com,East
Nisha Das,customer0495@demo-retail.com,Central
Pooja Roy,customer0496@demo-retail.com,East
Neha Yadav,customer0497@demo-retail.com,Central
Aditi Mishra,customer0498@demo-retail.com,Central
Nisha Patel,customer0499@demo-retail.com,North
Arjun Malhotra,customer0500@demo-retail.com,Central
